Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,RAJIV NAGAR,2,COMMERCIAL,18,17,2201,21.26
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,S R R THOTA-I,2,COMMERCIAL,237,222,30625,470.525
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,S R R THOTA-II,2,COMMERCIAL,385,364,63940,942.955
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,ALIPOOR,2,COMMERCIAL,4,4,245,2.5
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,BOLLIKUNTA,2,COMMERCIAL,288,270,72432,777.266
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,GADIPALLI,2,COMMERCIAL,43,39,9999,88.61
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,JAKKALADDI,2,COMMERCIAL,3,2,3640,61.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,MAMNOOR,2,COMMERCIAL,161,132,34099,366.75
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MARIYAPURAM,2,COMMERCIAL,46,44,5154,134.8
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MATCHAPUR,2,COMMERCIAL,126,113,22339,219.66
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,Nandanaikthanda,2,COMMERCIAL,18,18,1682,28.3
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,OOKAL,2,COMMERCIAL,73,62,11087,244.968
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAINIKUNTA,2,COMMERCIAL,2,2,191,4.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAMACHANDRAPURAM,2,COMMERCIAL,2,2,442,2.26
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAMPUR,2,COMMERCIAL,7,7,640,12.26
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SHIVATHANDA,2,COMMERCIAL,1,0,0,0.24
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SHYAMPET,2,COMMERCIAL,46,44,13377,259.06
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SURYA THANDA(MACHAPUR),2,COMMERCIAL,11,10,1089,14.89
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,VANCHANAGIRI,2,COMMERCIAL,62,54,10544,127.865
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,MARIYAPUR,2,COMMERCIAL,3,0,0,5.94
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,MUSUGULAPALLY,2,COMMERCIAL,7,7,404,16.55
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,NAKKALLAPALLY,2,COMMERCIAL,108,94,25297,259.466
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,POLICE CAMP,2,COMMERCIAL,73,68,39591,471.78
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,RAMAKRISHNAPURAM,2,COMMERCIAL,13,10,3103,18.37
