Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,KAPULAKANAPARTHY,VENKATAPUR HAVELI,4,COTTAGES,1,1,41,2.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,ANANTHARAM,4,COTTAGES,2,2,14,8.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,4,COTTAGES,3,3,153,18.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,4,COTTAGES,1,1,218,10.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,4,COTTAGES,6,3,124,39.26
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,4,COTTAGES,6,6,306,37.248
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,D SWAMY TEMPLE,4,COTTAGES,45,44,4850,108.32
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,BASANTHNAGAR NEW,4,COTTAGES,1,1,3,1.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,E THAKKALAPALLI,4,COTTAGES,1,1,16,1.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,ELKALAPALLY,4,COTTAGES,1,1,521,10.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,JAYYARAM,4,COTTAGES,1,1,192,4.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,KOLANOOR      ,4,COTTAGES,2,2,21,6.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,ODELA,ODELA         ,4,COTTAGES,13,12,1661,67.22
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,KHANAPUR(H.Q),4,COTTAGES,19,19,764,50.34
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,KOTHUR,4,COTTAGES,1,1,10,5.0
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,MANUBOTHULAGADDA,4,COTTAGES,1,1,0,3.0
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,PAPAIPET,4,COTTAGES,1,1,9,5.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KONDUR,4,COTTAGES,2,2,25,7.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KOTHUR,4,COTTAGES,3,3,55,10.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,MAHABUBNAGAR (WEST),4,COTTAGES,1,1,16,2.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,PERKED,4,COTTAGES,10,8,98,32.5
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,RAYAPARTHI,4,COTTAGES,5,4,482,20.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,THIRUMALAYAPALLI,4,COTTAGES,4,4,970,18.33
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,GUDEM (REC)   ,4,COTTAGES,1,1,132,5.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,GUMPALA       ,4,COTTAGES,1,1,77,3.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,INDURTHY      ,4,COTTAGES,1,1,10,5.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,JEELAKUNTA H/O POTHAKAPALLY   ,4,COTTAGES,3,3,170,10.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,KOMERA (REC)  ,4,COTTAGES,3,3,234,16.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,POTHAKAPALLY  ,4,COTTAGES,1,1,21,5.0
WARANGAL,NARSAMPET,NARSAMPET(R),KHANAPUR,RAGAMPET,4,COTTAGES,3,3,86,7.5
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,BANZORA PALLY,4,COTTAGES,1,1,8,1.5
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,GUNDRAPALLY,4,COTTAGES,1,0,0,3.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,CHENNARAM,4,COTTAGES,12,10,658,30.26
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,DAMMANNAPET,4,COTTAGES,6,5,499,28.746
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,ILLANDA,4,COTTAGES,37,36,14212,200.09
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,POTHKAPALLY,SHANAGONDA    ,4,COTTAGES,1,1,9,5.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,AREPALLY  H/O PANDILLA        ,4,COTTAGES,1,1,36,3.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,EDULAPOOR,4,COTTAGES,1,1,76,4.0
PEDDAPALLY,PEDDAPALLY,KALVA SRIRAMPUR,SRIRAMPUR,GANGARAM      ,4,COTTAGES,1,1,0,5.0
WARANGAL,NARSAMPET,NARSAMPET(R),NARSAMPET (RURAL),DASARIPALLY,4,COTTAGES,2,2,44,8.0
WARANGAL,NARSAMPET,NARSAMPET(R),NARSAMPET (RURAL),GURIJALA,4,COTTAGES,3,3,77,8.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,PANIKARA,4,COTTAGES,1,1,15,2.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,REDLA WADA,4,COTTAGES,1,1,22,7.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,KATRIAL,4,COTTAGES,2,2,5,10.0
