Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,WARANGAL,MULUGU ROAD,POCHAMMA MAIDAN,POCHAMMAMAIDAN,4,COTTAGES,3,2,1373,11.85
WARANGAL,WARANGAL,SHAMBUNIPET,KARIMABAD,KAREEMABAD-I,4,COTTAGES,7,3,584,31.72
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,AREPALLE,4,COTTAGES,1,1,3,9.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,GEESGONDA  (H),4,COTTAGES,1,1,8,5.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MANGONDA,4,COTTAGES,1,1,0,5.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MATCHAPUR,4,COTTAGES,1,1,201,3.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,OOKAL,4,COTTAGES,1,1,25,3.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SHYAMPET,4,COTTAGES,1,1,0,3.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,RAMGOPAL PUR,4,COTTAGES,1,1,120,5.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,THIMAPOOR,4,COTTAGES,2,2,305,14.36
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,FORT ROAD,4,COTTAGES,1,1,48,10.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,KAREEMABAD-I,4,COTTAGES,28,24,4335,144.77
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,CHINTALPALLI,4,COTTAGES,1,0,0,0.2
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,KUNTAPALLI,4,COTTAGES,4,3,29,12.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,RANGASAIPET-II,4,COTTAGES,1,0,0,7.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,SHAMBHUNIPET,4,COTTAGES,6,5,169,39.31
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,A.J.MILLS COLONY,4,COTTAGES,1,1,52,5.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,GRAIN MARKET,4,COTTAGES,8,6,2041,37.78
WARANGAL,RURAL WARANGAL,WARDHANNAPET,MYLARAM,MYLARAM,4,COTTAGES,2,2,393,6.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,MYLARAM,OOKALLU (WEST),4,COTTAGES,6,6,362,22.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,MYLARAM,SANNUR,4,COTTAGES,3,3,64,9.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,MYLARAM,VENKATESHWARAPALLY,4,COTTAGES,2,2,49,7.68
WARANGAL,NARSAMPET,NEKKONDA,ALAKANIPET,PEDDA KORPOLE,4,COTTAGES,2,2,22,7.0
WARANGAL,NARSAMPET,NEKKONDA,ALAKANIPET,VENKATAPUR,4,COTTAGES,1,1,45,2.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,GANNARAM,4,COTTAGES,1,0,0,3.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KESHAVAPUR,4,COTTAGES,2,2,32,5.67
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KOLANUPALLI,4,COTTAGES,1,1,234,5.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KONDAPUR (WEST),4,COTTAGES,1,1,38,4.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KONDUR,4,COTTAGES,2,2,31,7.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,KOTHUR,4,COTTAGES,3,3,78,10.0
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,AMEENABAD,4,COTTAGES,1,1,44,8.0
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,BUJJERU,4,COTTAGES,2,2,176,7.0
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,CHENNARAOPET(H.Q),4,COTTAGES,4,4,324,10.5
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,JALLY,4,COTTAGES,1,1,47,2.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,MAHABUBNAGAR (WEST),4,COTTAGES,1,1,18,2.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,PERKED,4,COTTAGES,10,7,172,32.5
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,RAYAPARTHI,4,COTTAGES,5,4,670,20.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,THIRUMALAYAPALLI,4,COTTAGES,4,4,1188,18.33
WARANGAL,NARSAMPET,NEKKONDA,CHENNARAOPET,KONAPURAM,4,COTTAGES,1,1,182,5.0
