Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,PERAIGUDEM,7,GENERAL,14,14,2017,18.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VAGODUGUDEM,7,GENERAL,2,2,24,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VEDANTAPURAM,7,GENERAL,1,1,26,1.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VOOTALAPALLY,7,GENERAL,3,3,88,3.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,ALLIPALLY,7,GENERAL,3,3,23,3.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,ANKAMPALEM,7,GENERAL,21,17,12753,70.8
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,BALARAJGUDEM,7,GENERAL,3,3,12,2.74
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,CHEPURIGUDEM,7,GENERAL,5,5,1772,3.84
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,CHINAGOLLAGUDEM,7,GENERAL,3,3,123,3.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,DANTALABORE,7,GENERAL,8,6,191,6.44
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,GANGADEVI GUPPA,7,GENERAL,2,2,14,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,JAGANNDHAPURAM (P),7,GENERAL,8,8,7844,39.64
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,KAREGATTU,7,GENERAL,3,3,39,3.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,KESHAVAPURAM,7,GENERAL,3,2,5,2.18
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,KODIPUNJULAWAGU,7,GENERAL,2,2,14,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,KOTHURU,7,GENERAL,1,1,25,1.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,MALLARAM,7,GENERAL,2,2,28,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,MAMIDIGUDEM(R),7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,DHABHA,7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,DHODDIGUDA,7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,DONGERGAOM,7,GENERAL,1,1,10,1.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,ENAGONDI,7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DANTANPALLY,7,GENERAL,3,1,1,1.3
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DEVAIGUDA,7,GENERAL,2,0,0,2.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,DUGGAPOOR,7,GENERAL,1,1,20,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,EDULAPAD,7,GENERAL,1,1,62,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,ERKAPALLY,7,GENERAL,1,0,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GADALAPALLY,7,GENERAL,1,1,0,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GAMBIRRAOPET (T),7,GENERAL,2,2,101,1.954
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GINNEDARI,7,GENERAL,3,1,5,1.75
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GOPERA,7,GENERAL,1,1,37,1.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GOYAGAOM,7,GENERAL,2,2,3249,3.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,MARTHADI,7,GENERAL,4,4,288,5.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,MOGAVELLY,7,GENERAL,5,5,2,5.0
