Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,ADILABAD,JAINATH,BHORAJ,AKOLI,3,INDUSTRIAL,1,0,0,10.0
ADILABAD,ADILABAD,JAINATH,BHORAJ,AKURLA,3,INDUSTRIAL,1,1,145,10.0
ADILABAD,ADILABAD,JAINATH,BHORAJ,BALAPUR,3,INDUSTRIAL,2,2,38,20.0
ADILABAD,ADILABAD,JAINATH,BHORAJ,BHORAJ,3,INDUSTRIAL,4,2,1971,50.0
ADILABAD,ADILABAD,JAINATH,BHORAJ,FOUSAPOOR,3,INDUSTRIAL,1,1,62,15.0
ADILABAD,ADILABAD,JAINATH,BHORAJ,GIMMA (K),3,INDUSTRIAL,2,2,398,22.01
ADILABAD,UTNOOR,UTNOOR,NARNOOR,RAJULGUDA,3,INDUSTRIAL,1,0,0,10.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,THADIHATHNOOR,3,INDUSTRIAL,2,0,0,28.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,BAMBARA,3,INDUSTRIAL,2,1,258,21.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,BORDA,3,INDUSTRIAL,1,1,1346,22.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,CHINCHOLI,3,INDUSTRIAL,1,0,0,100.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GAMBIRRAOPET (T),3,INDUSTRIAL,1,0,0,10.5
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,GOYAGAOM,3,INDUSTRIAL,1,0,0,10.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,MUMJAN PALLY,3,INDUSTRIAL,1,1,24,25.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,PENCHIKALPET,3,INDUSTRIAL,2,1,522,54.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,REBBANA (B),3,INDUSTRIAL,2,2,5680,161.5
