Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,KOTHURU,6,STREET LIGHTS,2,2,250,2.24
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,LAXMIDEVI PALLI(V),6,STREET LIGHTS,2,2,162,2.24
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,MALLARAM,6,STREET LIGHTS,4,4,629,6.24
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,MAMIDIGUDEM(R),6,STREET LIGHTS,1,1,54,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,JADALA CHINTHA-JP,6,STREET LIGHTS,1,1,148,0.1
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,JULOOR PAD,6,STREET LIGHTS,4,4,5253,18.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,K KOTHURU-JP,6,STREET LIGHTS,1,1,139,1.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,KAKARLA-JP,6,STREET LIGHTS,4,4,634,1.3
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,KARIVARI GUDEM-JP,6,STREET LIGHTS,2,2,794,0.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,KOMMU GUDEM-JP,6,STREET LIGHTS,1,1,228,0.48
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,JULLURUPADU,KOTHURU-JP,6,STREET LIGHTS,1,1,203,0.1
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,GOLIA TANDA-TP,6,STREET LIGHTS,2,2,486,1.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,IPPALA CHALAKA-TP,6,STREET LIGHTS,1,1,20,0.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,JANGALA PALLY-TP,6,STREET LIGHTS,1,1,0,0.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,JETYA TANDA-TP,6,STREET LIGHTS,2,2,743,1.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KAREPALLY THANDA- TP,6,STREET LIGHTS,2,2,13,5.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOPPURAI-TP,6,STREET LIGHTS,3,3,503,5.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTALLA-TP,6,STREET LIGHTS,2,2,172,1.1
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTHAGUDEM(B)-TP,6,STREET LIGHTS,4,3,95,3.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTHURU- TP,6,STREET LIGHTS,1,1,117,0.2
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KUNTALLA-TP,6,STREET LIGHTS,2,2,82,1.1
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,LAXMI PURAM15-TP,6,STREET LIGHTS,1,1,51,1.0
