Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,Surya naik thanda,6,STREET LIGHTS,2,2,533,2.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,TAHARAPUR,6,STREET LIGHTS,5,5,1820,12.6
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,SHAYAMPET,VASANTHAPUR,6,STREET LIGHTS,5,5,665,5.5
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK","CHOWRASTA,HNK",6,STREET LIGHTS,2,2,320,4.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK",GHANDHI NAGAR,6,STREET LIGHTS,2,2,282,3.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK",GUNDLA SINGARAM,6,STREET LIGHTS,22,22,4775,67.74
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK",KAKAJI COLONY,6,STREET LIGHTS,1,1,91,2.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK",KANCHARKUNTA,6,STREET LIGHTS,6,6,1676,37.92
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),"CHOWRASTHA, HNK",MACHILI BAZAR,6,STREET LIGHTS,5,5,677,13.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,KOTHUR,6,STREET LIGHTS,1,1,234,20.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,LASHKAR SINGARAM,6,STREET LIGHTS,4,4,563,10.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,MARUTHINAGAR,6,STREET LIGHTS,1,1,269,4.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,NAIMNAGAR,6,STREET LIGHTS,54,54,16656,292.88
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,PALIVELUPULA,6,STREET LIGHTS,9,9,1435,27.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,NAIMNAGAR,VIDYARANYAPURI,6,STREET LIGHTS,1,1,331,5.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,YADAVA NAGAR,GANDHINAGAR,6,STREET LIGHTS,2,2,899,4.0
JAGITYAL,JAGITYAL,Jagitial Rural,BEERPUR,KOMANPALLY,6,STREET LIGHTS,1,1,685,1.0
