Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,KUNTAPALLI,6,STREET LIGHTS,4,4,1216,8.326
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,RANGASAIPET-I,6,STREET LIGHTS,3,3,1073,10.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,RANGASAIPET-II,6,STREET LIGHTS,1,1,150,1.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,SHAMBHUNIPET,6,STREET LIGHTS,12,11,4593,22.0
WARANGAL,WARANGAL,SHAMBUNIPET,SHAMBUNIPET,VASANTHAPUR,6,STREET LIGHTS,1,1,320,0.72
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,A.J.MILLS COLONY,6,STREET LIGHTS,1,1,1484,5.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,CHRITIAN COLONY,6,STREET LIGHTS,9,9,2275,23.0
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,GRAIN MARKET,6,STREET LIGHTS,54,54,22058,184.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,ALIPOOR,6,STREET LIGHTS,5,5,1968,12.58
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,BOLLIKUNTA,6,STREET LIGHTS,16,16,8095,39.4
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,GADIPALLI,6,STREET LIGHTS,5,5,2189,7.54
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,JAKKALADDI,6,STREET LIGHTS,1,1,489,0.846
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,MAMNOOR,6,STREET LIGHTS,14,14,5555,22.55
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MANGONDA,6,STREET LIGHTS,4,4,614,6.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,MATCHAPUR,6,STREET LIGHTS,3,3,142,4.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,Nandanaikthanda,6,STREET LIGHTS,4,4,542,3.5
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,OOKAL,6,STREET LIGHTS,10,10,1201,15.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAINIKUNTA,6,STREET LIGHTS,2,2,210,1.4
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAMACHANDRAPURAM,6,STREET LIGHTS,1,1,153,1.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,RAMPUR,6,STREET LIGHTS,3,3,912,3.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SHYAMPET,6,STREET LIGHTS,4,4,876,4.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,MACHAPOOR,SURYA THANDA(MACHAPUR),6,STREET LIGHTS,4,4,580,5.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,MUSUGULAPALLY,6,STREET LIGHTS,2,2,1084,8.0
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,NAKKALLAPALLY,6,STREET LIGHTS,4,4,1044,9.3
WARANGAL,WARANGAL,SHAMBUNIPET,MAMNOOR,POLICE CAMP,6,STREET LIGHTS,1,1,0,0.4
