circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,DOMESTIC,1,1228,1192.0,128236,1515.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,DOMESTIC,1,799,789.0,154907,2994.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,DOMESTIC,1,1360,1288.0,176940,2768.34
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,DOMESTIC,1,327,311.0,48135,379.84
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BEGUMPET BASTHI,DOMESTIC,1,846,802.0,116905,914.92
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI,DOMESTIC,1,1275,1181.0,140510,1516.73
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI APTS,DOMESTIC,1,1227,1176.0,203331,4168.24
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,DOMESTIC,1,182,166.0,43045,662.67
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTIGADEN APTS,DOMESTIC,1,873,866.0,236637,4897.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,DWARAKA DASS COLONY,DOMESTIC,1,1166,1153.0,144547,1754.55
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",DOMESTIC,1,24,21.0,34080,401.59
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,DOMESTIC,1,29,28.0,37772,479.47
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,DOMESTIC,1,45,35.0,30230,679.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,DOMESTIC,1,1249,1222.0,239524,3964.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MATHAJI NAGAR,DOMESTIC,1,874,854.0,84837,977.29
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,DOMESTIC,1,1380,1311.0,201923,3388.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,DOMESTIC,1,510,494.0,57171,424.96
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P.  NAGAR WATER TANK,DOMESTIC,1,241,237.0,29107,442.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. GADDA GOVT. QRTS. ,DOMESTIC,1,509,85.0,10477,699.78
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,DOMESTIC,1,989,951.0,121814,1571.2
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,DOMESTIC,1,1202,1158.0,198673,2476.34
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,DOMESTIC,1,818,691.0,94436,821.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,DOMESTIC,1,1299,1244.0,155111,1795.79
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,R.B.I.QUARTERS,DOMESTIC,1,316,290.0,24902,900.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,DOMESTIC,1,590,588.0,70055,711.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,DOMESTIC,1,1078,1041.0,132283,1477.47
