circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,GENERAL PURPOSE,7,2,2.0,568,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,GENERAL PURPOSE,7,1,,0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,GENERAL PURPOSE,7,3,2.0,2181,16.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,GENERAL PURPOSE,7,4,4.0,1004,11.26
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,GENERAL PURPOSE,7,2,2.0,0,21.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURICOLONY II,GENERAL PURPOSE,7,1,1.0,105,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR,GENERAL PURPOSE,7,2,2.0,717,1.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR (SOUTH),GENERAL PURPOSE,7,2,2.0,131,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAK NAGAR,GENERAL PURPOSE,7,1,1.0,103,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAKRAO NAGAR,GENERAL PURPOSE,7,1,,0,0.48
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,GENERAL PURPOSE,7,2,2.0,822,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,GENERAL PURPOSE,7,1,1.0,384,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TATA CHARY CLY,GENERAL PURPOSE,7,2,2.0,202,5.3
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VIKAR NAGAR,GENERAL PURPOSE,7,1,,0,0.42
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,GENERAL PURPOSE,7,2,2.0,128,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,GENERAL PURPOSE,7,2,2.0,9018,76.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,GENERAL PURPOSE,7,4,4.0,3446,20.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S HARI GATE,GENERAL PURPOSE,7,4,4.0,1459,15.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},GENERAL PURPOSE,7,1,1.0,50,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA,GENERAL PURPOSE,7,1,1.0,29,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),GENERAL PURPOSE,7,1,1.0,311,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,DURGA NAGAR,GENERAL PURPOSE,7,2,2.0,270,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTINAGAR (NORTH)- COMMIT HALL,GENERAL PURPOSE,7,1,1.0,514,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NATRAJ NAGAR,GENERAL PURPOSE,7,1,1.0,-4,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NETAJI NAGAR-EK MINAR MASJID,GENERAL PURPOSE,7,1,1.0,124,0.68
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW ERRAGADDA-BANJARA NAGAR,GENERAL PURPOSE,7,1,1.0,0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,NEW SHASTRY NAGAR- JANAPRIYA O,GENERAL PURPOSE,7,1,1.0,1080,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,GENERAL PURPOSE,7,6,6.0,6789,60.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,GENERAL PURPOSE,7,1,,0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS CT METERS,GENERAL PURPOSE,7,3,3.0,6656,73.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,GENERAL PURPOSE,7,3,1.0,1395,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,GENERAL PURPOSE,7,1,1.0,614,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,GENERAL PURPOSE,7,3,2.0,390,6.65
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PANDURANGA NAGAR,GENERAL PURPOSE,7,1,1.0,694,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,PREM NAGAR-OM JHANDA,GENERAL PURPOSE,7,1,1.0,334,0.32
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,S.N.R.CO-OP SOCIETY,GENERAL PURPOSE,7,2,2.0,425,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SHANKARLAL NAGAR (B),GENERAL PURPOSE,7,1,,0,0.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,SULTHAN NAGAR II- UP GALLI,GENERAL PURPOSE,7,1,1.0,1137,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,POCHAMMA BASTI,GENERAL PURPOSE,7,1,1.0,310,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA (EXT.),GENERAL PURPOSE,7,1,1.0,1241,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-I,GENERAL PURPOSE,7,2,2.0,923,8.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,GENERAL PURPOSE,7,1,1.0,736,11.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ZEHRA GULSHAN BAGH,GENERAL PURPOSE,7,3,3.0,2603,12.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BABA SAILANI NAGAR,GENERAL PURPOSE,7,1,,0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BANJARA NAGAR (SOUTH),GENERAL PURPOSE,7,1,1.0,115,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BHARAT NAGAR,GENERAL PURPOSE,7,1,1.0,1259,8.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,BRAHMA SHANKAR NAGAR,GENERAL PURPOSE,7,1,1.0,254,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GANGA NAGAR,GENERAL PURPOSE,7,1,1.0,212,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,GENERAL PURPOSE,7,6,6.0,5888,21.48
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ANAND BAGH,GENERAL PURPOSE,7,1,1.0,506,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,GENERAL PURPOSE,7,1,1.0,350,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,GENERAL PURPOSE,7,2,2.0,559,6.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR WEST(PHASE-I),GENERAL PURPOSE,7,1,1.0,646,5.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,H.F.NAGAR-II,GENERAL PURPOSE,7,5,4.0,1886,14.28
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR,GENERAL PURPOSE,7,3,3.0,283,3.79
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR PHASE-II,GENERAL PURPOSE,7,2,2.0,415,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR (W),GENERAL PURPOSE,7,1,1.0,1041,8.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KARMIKA NAGAR (S),GENERAL PURPOSE,7,1,1.0,1032,0.25
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,MADHURA NAGAR,GENERAL PURPOSE,7,2,2.0,795,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM -I (S),GENERAL PURPOSE,7,4,4.0,721,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET WEST,GENERAL PURPOSE,7,1,1.0,650,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR NORTH,GENERAL PURPOSE,7,1,1.0,0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR SOUTH,GENERAL PURPOSE,7,2,2.0,548,1.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,GENERAL PURPOSE,7,3,2.0,9639,65.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - II,GENERAL PURPOSE,7,2,1.0,380,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE -I,GENERAL PURPOSE,7,2,2.0,389,5.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM-III (W),GENERAL PURPOSE,7,2,2.0,154,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,PRABHATH NAGAR,GENERAL PURPOSE,7,2,1.0,412,4.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,RAJ NAGAR,GENERAL PURPOSE,7,3,2.0,1006,10.0
