circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,NON-DOMESTIC AND COMMERCIAL,2,21,18.0,1635,18.37
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P.  NAGAR WATER TANK,NON-DOMESTIC AND COMMERCIAL,2,222,209.0,43638,585.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. GADDA GOVT. QRTS. ,NON-DOMESTIC AND COMMERCIAL,2,15,5.0,1752,15.51
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,NON-DOMESTIC AND COMMERCIAL,2,254,226.0,52775,569.76
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,NON-DOMESTIC AND COMMERCIAL,2,177,161.0,39048,435.82
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,NON-DOMESTIC AND COMMERCIAL,2,41,39.0,3227,48.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,NON-DOMESTIC AND COMMERCIAL,2,140,130.0,17035,257.88
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,R.B.I.QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,10,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,NON-DOMESTIC AND COMMERCIAL,2,20,19.0,5383,29.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,NON-DOMESTIC AND COMMERCIAL,2,220,185.0,27044,360.11
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,356,11.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,180,176.0,20062,253.24
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SWARAJ NAGAR (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,92,91.0,17724,122.86
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,VINAYAK NAGAR,NON-DOMESTIC AND COMMERCIAL,2,18,15.0,1103,19.98
