circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,TEMPORARY SUPPLY,8,1,1.0,0,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,TEMPORARY SUPPLY,8,1,1.0,63,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,TEMPORARY SUPPLY,8,6,5.0,1503,17.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,TEMPORARY SUPPLY,8,1,1.0,158,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,TEMPORARY SUPPLY,8,1,1.0,200,3.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURICOLONY II,TEMPORARY SUPPLY,8,2,2.0,885,12.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR,TEMPORARY SUPPLY,8,4,4.0,1472,13.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA EAST,TEMPORARY SUPPLY,8,9,9.0,1423,36.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,AVANTHI NAGAR THOTA NEW II,TEMPORARY SUPPLY,8,1,1.0,1,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,TEMPORARY SUPPLY,8,1,1.0,180,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,TEMPORARY SUPPLY,8,4,4.0,2218,18.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VADDERA BASTHI. P. GADDA,TEMPORARY SUPPLY,8,1,,0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET (SOUTH),TEMPORARY SUPPLY,8,4,4.0,412,26.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET COLONY (RBI),TEMPORARY SUPPLY,8,2,2.0,273,7.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,TEMPORARY SUPPLY,8,2,2.0,848,11.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,TEMPORARY SUPPLY,8,3,3.0,9258,89.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ECE QUARTERS,TEMPORARY SUPPLY,8,75,75.0,22062,375.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA- SHAREEF GALLI,TEMPORARY SUPPLY,8,15,15.0,3354,77.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRRAGADDA- J K POINT,TEMPORARY SUPPLY,8,2,2.0,1304,8.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,TEMPORARY SUPPLY,8,5,5.0,5271,56.65
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR,TEMPORARY SUPPLY,8,2,1.0,264,15.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMRUTHA HILLS,TEMPORARY SUPPLY,8,1,1.0,1243,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S HARI GATE,TEMPORARY SUPPLY,8,1,1.0,0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},TEMPORARY SUPPLY,8,1,1.0,23,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),TEMPORARY SUPPLY,8,1,1.0,78,1.0
