circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,DOMESTIC,1,16,16,8473,125
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,NON-DOMESTIC AND COMMERCIAL,2,12,12,5532,422
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,DOMESTIC,1,49,49,16275,304
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,NON-DOMESTIC AND COMMERCIAL,2,3,3,778,23
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHURANGAR E F G,DOMESTIC,1,1,1,515,5
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,DOMESTIC,1,5,5,10009,203.2
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,NON-DOMESTIC AND COMMERCIAL,2,3,3,1458,123
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,DOMESTIC,1,52,52,17445,297
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,NON-DOMESTIC AND COMMERCIAL,2,17,17,4050,160
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,CT METERS & NET METERS,DOMESTIC,1,25,25,15356,892
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,CT METERS & NET METERS,NON-DOMESTIC AND COMMERCIAL,2,3,3,1784,124
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,DOMESTIC,1,99,99,31926,653
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,NON-DOMESTIC AND COMMERCIAL,2,2,2,266,15
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,DOMESTIC,1,1,1,506,5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HT DOMESTIC,DOMESTIC,1,3,3,2902,260
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,DOMESTIC,1,52,52,22618,561
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,NON-DOMESTIC AND COMMERCIAL,2,17,17,6025,392.03
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,GENERAL PURPOSE,7,2,2,1578,51
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",DOMESTIC,1,47,47,20433,546
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",NON-DOMESTIC AND COMMERCIAL,2,5,5,1631,131
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",DOMESTIC,1,83,83,37709,1050
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",NON-DOMESTIC AND COMMERCIAL,2,10,10,4074,220
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",GENERAL PURPOSE,7,1,1,282,5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,DOMESTIC,1,30,30,9875,359
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,NON-DOMESTIC AND COMMERCIAL,2,2,2,323,35
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,DOMESTIC,1,13,13,2214,272
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,NON-DOMESTIC AND COMMERCIAL,2,17,17,6805,374
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,GENERAL PURPOSE,7,1,1,45,68
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SRINIKETAN COLONY,DOMESTIC,1,1,1,237,5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"AMBEDKAR NAGAR, BJR NAGAR",DOMESTIC,1,1,1,531,5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,DOUBLE BEDROOM KAMALA NAGAR,GENERAL PURPOSE,7,2,2,2,11
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,DOMESTIC,1,20,20,7028,111.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,NON-DOMESTIC AND COMMERCIAL,2,2,2,700,18
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,GENERAL PURPOSE,7,2,2,378,8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,MOTHI NAGAR (S),DOMESTIC,1,3,3,864,17
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,CT METERS HV(GRC) ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,1,1,202,16
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,2,2,997,20
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GOUTHAM PURI,DOMESTIC,1,1,1,444,5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,DOMESTIC,1,29,29,14228,186
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,GRC HV ERRAGADDA,NON-DOMESTIC AND COMMERCIAL,2,5,5,1087,43
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,MOTHI NAGAR,DOMESTIC,1,1,1,458,7
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,DOMESTIC,1,15,15,3522,52.6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,NON-DOMESTIC AND COMMERCIAL,2,3,3,239,25
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,GENERAL PURPOSE,7,2,2,923,10
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,INDIRA NAGAR,DOMESTIC,1,1,1,258,4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR,DOMESTIC,1,6,6,2426,34
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,KALYAN NAGAR (W),NON-DOMESTIC AND COMMERCIAL,2,1,1,890,9
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - II,DOMESTIC,1,1,1,255,3.3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,RAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,1,1,795,12
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,"RAJEENAGAR,FATIMANAGAR",DOMESTIC,1,1,1,444,8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,DOMESTIC,1,8,8,11728,183
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,APARTMENTS SERVICES RD NO.12,DOMESTIC,1,1,1,0,5
