circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,DOMESTIC,1,17,17,9711,135
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,NON-DOMESTIC AND COMMERCIAL,2,12,12,5581,422
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,DOMESTIC,1,50,50,23419,309
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,NON-DOMESTIC AND COMMERCIAL,2,3,3,1847,23
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,DOMESTIC,1,5,5,11843,203.2
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,NON-DOMESTIC AND COMMERCIAL,2,3,3,1606,123
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,DOMESTIC,1,53,53,21799,302
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,NON-DOMESTIC AND COMMERCIAL,2,18,18,8651,167
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,CT METERS & NET METERS,DOMESTIC,1,26,26,18762,901
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,CT METERS & NET METERS,NON-DOMESTIC AND COMMERCIAL,2,3,3,3308,124
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,DOMESTIC,1,100,100,39382,658
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,NON-DOMESTIC AND COMMERCIAL,2,2,2,476,15
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HT DOMESTIC,DOMESTIC,1,3,3,2546,260
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,DOMESTIC,1,58,58,27755,608
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,NON-DOMESTIC AND COMMERCIAL,2,17,17,11398,392.03
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,GENERAL PURPOSE,7,2,2,1900,51
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",DOMESTIC,1,51,51,25041,568.24
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",NON-DOMESTIC AND COMMERCIAL,2,5,5,1203,131
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",DOMESTIC,1,85,85,59975,1060
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",NON-DOMESTIC AND COMMERCIAL,2,11,11,9454,240
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",GENERAL PURPOSE,7,1,1,316,5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,DOMESTIC,1,30,30,13233,359
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,NON-DOMESTIC AND COMMERCIAL,2,2,2,755,35
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,DOMESTIC,1,14,14,3898,287
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,NON-DOMESTIC AND COMMERCIAL,2,18,18,9599,409
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,GENERAL PURPOSE,7,1,1,15,68
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",DOMESTIC,1,128,128,85655,1424.8
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",NON-DOMESTIC AND COMMERCIAL,2,9,9,6061,129
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",GENERAL PURPOSE,7,1,1,587,12
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GOVT SERVICES,NON-DOMESTIC AND COMMERCIAL,2,1,1,0,10
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GOVT SERVICES,GENERAL PURPOSE,7,2,2,0,18
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,DOMESTIC,1,109,109,59295,1238.27
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,NON-DOMESTIC AND COMMERCIAL,2,17,17,6874,309
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,GENERAL PURPOSE,7,3,3,4258,200
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,DOMESTIC,1,188,188,109026,2797.9
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,NON-DOMESTIC AND COMMERCIAL,2,10,10,3592,291
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,TEMPORARY SUPPLY,8,1,1,1133,25
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,HT DOMESTIC,DOMESTIC,1,1,1,48,200
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,DOMESTIC HT,DOMESTIC,1,14,14,7569,2355
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,DOMESTIC,1,154,154,87780,2687
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,NON-DOMESTIC AND COMMERCIAL,2,8,8,2569,177
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGH VALUE  ROAD NO 1 TO 21,DOMESTIC,1,18,18,10326,217
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGH VALUE  ROAD NO 1 TO 21,NON-DOMESTIC AND COMMERCIAL,2,6,6,4140,125
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGH VALUE  ROAD NO 1 TO 21,GENERAL PURPOSE,7,1,1,1063,50
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,DOMESTIC,1,31,31,16101,288
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,NON-DOMESTIC AND COMMERCIAL,2,14,14,11738,382
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,GENERAL PURPOSE,7,3,3,628,18
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV RD NO 39 TO 45 & 54 TO 68,DOMESTIC,1,35,35,22265,761
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV RD NO 39 TO 45 & 54 TO 68,NON-DOMESTIC AND COMMERCIAL,2,7,7,2988,183
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV RD NO 39 TO 45 & 54 TO 68,TEMPORARY SUPPLY,8,1,1,0,5
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,DOMESTIC,1,121,121,79353,2741
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,NON-DOMESTIC AND COMMERCIAL,2,4,4,3357,115
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD NO 56 TO 68 & 10 TO 22,DOMESTIC,1,96,96,54571,1912
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD NO 56 TO 68 & 10 TO 22,NON-DOMESTIC AND COMMERCIAL,2,8,8,4057,126
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"ARUNDHOYA,IMAGE GARDEN, HARIZA",DOMESTIC,1,7,7,4370,87
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"ARUNDHOYA,IMAGE GARDEN, HARIZA",NON-DOMESTIC AND COMMERCIAL,2,15,15,7637,468
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,COD TO MADHAPUR PS SIDE  GRC,DOMESTIC,1,5,5,2048,31
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,COD TO MADHAPUR PS SIDE  GRC,NON-DOMESTIC AND COMMERCIAL,2,2,2,714,130
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"CYBER TOWER AREA,PATRIKANAGAR",DOMESTIC,1,5,5,3314,48
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"CYBER TOWER AREA,PATRIKANAGAR",NON-DOMESTIC AND COMMERCIAL,2,4,4,1509,84
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",DOMESTIC,1,3,3,8809,87
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",NON-DOMESTIC AND COMMERCIAL,2,8,8,6529,200
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,DOMESTIC,1,47,47,26233,487
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,NON-DOMESTIC AND COMMERCIAL,2,10,10,10006,225
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,DOMESTIC,1,1,1,750,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,DOMESTIC,1,2,2,853,8
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI,DOMESTIC,1,5,5,4583,17
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI APTS,DOMESTIC,1,1,1,346,3
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,DOMESTIC,1,1,1,362,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",DOMESTIC,1,5,5,1998,19
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",NON-DOMESTIC AND COMMERCIAL,2,5,5,2472,145
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,DOMESTIC,1,9,9,4803,84
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,NON-DOMESTIC AND COMMERCIAL,2,4,4,5503,100
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,GENERAL PURPOSE,7,2,2,847,100
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,DOMESTIC,1,17,17,11033,174
