circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",INDUSTRIAL,3,4,4.0,12591,161.68
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,INDUSTRIAL,3,3,3.0,1126,15.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,INDUSTRIAL,3,20,1.0,529,304.88
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),INDUSTRIAL,3,1,1.0,7,5.03
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,INDUSTRIAL,3,15,6.0,3080,250.08
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,INDUSTRIAL,3,3,1.0,208,72.98
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,INDUSTRIAL,3,1,1.0,297,5.03
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN RD(APPTS.),INDUSTRIAL,3,1,,0,5.25
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,INDUSTRIAL,3,3,3.0,305,15.08
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET WEST,INDUSTRIAL,3,1,,0,5.03
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,INDUSTRIAL,3,10,4.0,4998,325.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,INDUSTRIAL,3,17,4.0,1931,361.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,INDUSTRIAL,3,7,3.0,68,57.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,INDUSTRIAL,3,43,17.0,12767,318.15
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,NEEMKAR COLONY,INDUSTRIAL,3,3,3.0,229,15.08
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SCIENTIFIC COLONY,INDUSTRIAL,3,1,1.0,4,10.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SRINIVASA COLONY (EAST),INDUSTRIAL,3,1,1.0,0,5.03
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,KAMALAPURI COLONY,INDUSTRIAL,3,1,,0,7.5
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,COD TO MADHAPUR PS SIDE  GRC,INDUSTRIAL,3,3,3.0,1805,80.25
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,GOVT SERVICES,INDUSTRIAL,3,1,1.0,6269,52.28
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,CT METERS & NET METERS,INDUSTRIAL,3,1,1.0,8929,22.5
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",INDUSTRIAL,3,1,1.0,18062,36.75
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,INDUSTRIAL,3,1,1.0,1727,24.75
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,INDUSTRIAL,3,19,11.0,6967,127.57
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"PATRIKANAGAR,JUBILEE ENCLAVE",INDUSTRIAL,3,1,,0,7.5
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,STREET LIGHT,INDUSTRIAL,3,1,1.0,164,3.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS," IBRAHIM,NOOR,GURUBRAHMA NAGER",INDUSTRIAL,3,1,1.0,178,7.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,INDUSTRIAL,3,3,2.0,9,20.03
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",INDUSTRIAL,3,5,3.0,9932,68.25
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",INDUSTRIAL,3,4,1.0,7754,148.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"JOURNALIST NOVODAYA,U.B.COLONY",INDUSTRIAL,3,1,1.0,1713,5.03
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,INDUSTRIAL,3,6,6.0,14685,187.63
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NEW VENKATESHWARA NAGAR,INDUSTRIAL,3,1,1.0,0,5.03
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UDAYANAGAR,INDUSTRIAL,3,1,1.0,889,7.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GOVT SERVICES,INDUSTRIAL,3,5,2.0,205,54.68
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,INDUSTRIAL,3,11,5.0,2234,168.84
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,INDUSTRIAL,3,1,1.0,634,4.02
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,INDUSTRIAL,3,2,2.0,7142,71.25
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,INDUSTRIAL,3,23,10.0,12036,289.4
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHAR NAGAR SAIBABA TEMPEL,INDUSTRIAL,3,2,2.0,738,10.05
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHARNAGAR,INDUSTRIAL,3,1,1.0,583,6.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N B T NAGAR-1,INDUSTRIAL,3,2,2.0,174,10.05
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,SRIRAM NAGAR RD NO-13,INDUSTRIAL,3,1,1.0,343,5.03
