circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,NON-DOMESTIC AND COMMERCIAL,2,91,65.0,5858,166.14
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,NON-DOMESTIC AND COMMERCIAL,2,56,50.0,10204,148.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,NON-DOMESTIC AND COMMERCIAL,2,211,174.0,26015,570.55
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,NON-DOMESTIC AND COMMERCIAL,2,85,58.0,6762,122.92
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BEGUMPET BASTHI,NON-DOMESTIC AND COMMERCIAL,2,59,29.0,2774,115.82
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI,NON-DOMESTIC AND COMMERCIAL,2,120,87.0,14259,235.49
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI APTS,NON-DOMESTIC AND COMMERCIAL,2,53,41.0,8468,106.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,NON-DOMESTIC AND COMMERCIAL,2,148,95.0,21250,485.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTIGADEN APTS,NON-DOMESTIC AND COMMERCIAL,2,152,134.0,35674,709.92
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,DWARAKA DASS COLONY,NON-DOMESTIC AND COMMERCIAL,2,160,127.0,31537,387.78
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",NON-DOMESTIC AND COMMERCIAL,2,332,292.0,458775,7633.44
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,NON-DOMESTIC AND COMMERCIAL,2,325,278.0,350466,6555.7
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,NON-DOMESTIC AND COMMERCIAL,2,325,198.0,298129,6505.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,NON-DOMESTIC AND COMMERCIAL,2,331,281.0,62617,1332.76
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MATHAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,27,27.0,1793,38.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,NON-DOMESTIC AND COMMERCIAL,2,208,142.0,26384,646.79
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,1090,18.37
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P.  NAGAR WATER TANK,NON-DOMESTIC AND COMMERCIAL,2,219,206.0,31954,576.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. GADDA GOVT. QRTS. ,NON-DOMESTIC AND COMMERCIAL,2,15,6.0,1170,15.51
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,NON-DOMESTIC AND COMMERCIAL,2,252,225.0,41532,565.76
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,NON-DOMESTIC AND COMMERCIAL,2,176,160.0,30804,432.82
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,NON-DOMESTIC AND COMMERCIAL,2,41,39.0,3438,48.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,NON-DOMESTIC AND COMMERCIAL,2,139,129.0,14321,255.38
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,R.B.I.QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,10,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,NON-DOMESTIC AND COMMERCIAL,2,19,19.0,4988,28.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,NON-DOMESTIC AND COMMERCIAL,2,219,184.0,25536,355.11
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS APTS,NON-DOMESTIC AND COMMERCIAL,2,95,79.0,9625,339.22
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,NON-DOMESTIC AND COMMERCIAL,2,83,79.0,9914,127.93
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,1696,20.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TATA CHARY CLY,NON-DOMESTIC AND COMMERCIAL,2,82,62.0,5063,149.7
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,NON-DOMESTIC AND COMMERCIAL,2,64,64.0,7484,129.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VADDERA BASTHI. P. GADDA,NON-DOMESTIC AND COMMERCIAL,2,50,43.0,4796,65.8
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VIKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,154,116.0,17650,231.76
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET (SOUTH),NON-DOMESTIC AND COMMERCIAL,2,515,363.0,72806,1391.92
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET COLONY (RBI),NON-DOMESTIC AND COMMERCIAL,2,90,70.0,25509,221.21
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,NON-DOMESTIC AND COMMERCIAL,2,248,175.0,48984,828.73
