circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI APTS,TEMPORARY SUPPLY,8,1,1.0,27,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,TEMPORARY SUPPLY,8,4,4.0,888,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI APTS,TEMPORARY SUPPLY,8,15,15.0,3201,75.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,TEMPORARY SUPPLY,8,3,3.0,1265,11.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTIGADEN APTS,TEMPORARY SUPPLY,8,1,1.0,274,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,DWARAKA DASS COLONY,TEMPORARY SUPPLY,8,2,2.0,136,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",TEMPORARY SUPPLY,8,4,1.0,386,127.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,TEMPORARY SUPPLY,8,11,7.0,11071,254.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,TEMPORARY SUPPLY,8,8,6.0,5654,101.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,TEMPORARY SUPPLY,8,3,3.0,333,18.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,TEMPORARY SUPPLY,8,1,1.0,24,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,TEMPORARY SUPPLY,8,1,1.0,12,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,TEMPORARY SUPPLY,8,6,6.0,2025,17.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,TEMPORARY SUPPLY,8,1,1.0,175,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,TEMPORARY SUPPLY,8,1,1.0,106,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,TEMPORARY SUPPLY,8,1,1.0,193,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,TEMPORARY SUPPLY,8,4,4.0,1104,18.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VADDERA BASTHI. P. GADDA,TEMPORARY SUPPLY,8,2,1.0,0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET (SOUTH),TEMPORARY SUPPLY,8,4,4.0,25,26.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET COLONY (RBI),TEMPORARY SUPPLY,8,2,2.0,745,7.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,TEMPORARY SUPPLY,8,2,2.0,587,11.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMRUTHA HILLS,TEMPORARY SUPPLY,8,1,1.0,957,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S HARI GATE,TEMPORARY SUPPLY,8,1,1.0,92,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},TEMPORARY SUPPLY,8,1,1.0,17,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),TEMPORARY SUPPLY,8,1,1.0,14,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,TEMPORARY SUPPLY,8,7,2.0,1570,75.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,TEMPORARY SUPPLY,8,10,6.0,13011,165.73
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,TEMPORARY SUPPLY,8,4,4.0,4053,16.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS (EAST),TEMPORARY SUPPLY,8,2,2.0,687,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,TEMPORARY SUPPLY,8,2,2.0,454,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,TEMPORARY SUPPLY,8,2,2.0,111,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,POCHAMMA BASTI,TEMPORARY SUPPLY,8,3,3.0,435,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA,TEMPORARY SUPPLY,8,2,2.0,318,8.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA (EXT.),TEMPORARY SUPPLY,8,3,1.0,1072,17.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,TEMPORARY SUPPLY,8,2,1.0,414,16.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,VENKATRAM BAGH,TEMPORARY SUPPLY,8,1,1.0,248,7.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,A.LEELA NAGAR (APPTS.),TEMPORARY SUPPLY,8,2,1.0,143,11.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,TEMPORARY SUPPLY,8,2,2.0,701,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ANAND BAGH,TEMPORARY SUPPLY,8,1,1.0,0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,TEMPORARY SUPPLY,8,4,4.0,474,16.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET WEST,TEMPORARY SUPPLY,8,1,1.0,153,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR SOUTH,TEMPORARY SUPPLY,8,3,3.0,990,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,TEMPORARY SUPPLY,8,8,8.0,1394,25.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,TEMPORARY SUPPLY,8,3,1.0,3341,92.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,D.K.ROAD,TEMPORARY SUPPLY,8,2,2.0,895,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,TEMPORARY SUPPLY,8,1,,0,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,TEMPORARY SUPPLY,8,2,2.0,112,14.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,TEMPORARY SUPPLY,8,7,6.0,5572,51.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,LEELA NAGAR  ,TEMPORARY SUPPLY,8,2,1.0,94,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,NEEMKAR COLONY,TEMPORARY SUPPLY,8,1,1.0,4,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S R NAGAR NORTH B TYPE ,TEMPORARY SUPPLY,8,1,1.0,216,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (NORTH),TEMPORARY SUPPLY,8,3,2.0,2115,12.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (SOUTH),TEMPORARY SUPPLY,8,4,4.0,2257,12.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SCIENTIFIC COLONY,TEMPORARY SUPPLY,8,5,4.0,1528,26.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SHIVA BAGH,TEMPORARY SUPPLY,8,1,1.0,300,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SONA BAI TEMPLE,TEMPORARY SUPPLY,8,3,3.0,2245,15.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SRINIVASA COLONY (EAST),TEMPORARY SUPPLY,8,1,1.0,-767,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SRIRAM NAGAR,TEMPORARY SUPPLY,8,1,1.0,651,13.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SUNDERNAGAR MODEL COLONY,TEMPORARY SUPPLY,8,6,6.0,772,98.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JP NAGAR & ENGINEERS COLONY,TEMPORARY SUPPLY,8,5,5.0,1769,16.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,KAMALAPURI COLONY,TEMPORARY SUPPLY,8,8,8.0,2384,32.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,NAGARJUNA NAGAR,TEMPORARY SUPPLY,8,7,6.0,3835,30.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,OLD YELLAREDDYGUDA,TEMPORARY SUPPLY,8,1,1.0,546,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,"SG NAGAR,BSNL,MARKET AREA",TEMPORARY SUPPLY,8,6,6.0,1715,27.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SHALIVAHANA NAGAR,TEMPORARY SUPPLY,8,4,3.0,914,12.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SHALIVAHANA SBH NAVODAYA,TEMPORARY SUPPLY,8,7,7.0,1718,27.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SKD NAGAR,TEMPORARY SUPPLY,8,2,2.0,1222,7.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,MASTANNAGAR RD.NO.46,TEMPORARY SUPPLY,8,4,3.0,1186,14.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,PRASHASAN NAGAR,TEMPORARY SUPPLY,8,2,2.0,722,10.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,TEMP SUPPLY,TEMPORARY SUPPLY,8,13,,0,12.5
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,(HARIJANA BASTI) SAI NAGAR,TEMPORARY SUPPLY,8,7,7.0,1248,31.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"ARUNDHOYA COLONY,JAIHIND ENCLA",TEMPORARY SUPPLY,8,19,17.0,5745,103.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"ARUNDHOYA,IMAGE GARDEN, HARIZA",TEMPORARY SUPPLY,8,22,19.0,22546,305.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,COD TO MADHAPUR PS SIDE  GRC,TEMPORARY SUPPLY,8,5,4.0,2168,47.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"CYBER TOWER AREA,PATRIKANAGAR",TEMPORARY SUPPLY,8,28,17.0,18689,576.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR APARTMENTS,TEMPORARY SUPPLY,8,1,1.0,268,7.46
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR KESHAVNAGAR,TEMPORARY SUPPLY,8,1,1.0,80,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,TEMPORARY SUPPLY,8,1,,0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,TEMP SUPPLY,TEMPORARY SUPPLY,8,24,7.0,1408,48.24
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,UPPER BASTI,TEMPORARY SUPPLY,8,1,1.0,111,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,WB. WADDAR BASTHI,TEMPORARY SUPPLY,8,1,1.0,111,1.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",TEMPORARY SUPPLY,8,30,28.0,30999,284.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,TEMPORARY SUPPLY,8,17,11.0,11836,317.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"KAVURI HILLS(D-MART),AMAR COOP",TEMPORARY SUPPLY,8,16,14.0,8145,92.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"KUMAR BASTI,NECTAR GARDEN",TEMPORARY SUPPLY,8,9,6.0,1680,51.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,MADHAPUR BASTI,TEMPORARY SUPPLY,8,10,9.0,1900,39.0
